"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"132","Robin Lopez","MIL","32","3","3","100%","1.0","1.3","75.0","75.0","100%","1.0","1.3","75.0","0.0%","0.0","0.0","-","2019-2020"
"133","Mike Muscala","OKC","28","2","2","100%","0.5","1.0","50.0","75.0","50.0%","0.0","0.5","0.0","50.0%","0.5","0.5","100","2019-2020"
"134","Tacko Fall","BOS","24","2","1","100%","0.5","0.5","100","100","100%","0.5","0.5","100","0.0%","0.0","0.0","-","2019-2020"
"135","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2018-2019"
"136","Nikola Jokic","DEN","24","14","14","100%","9.0","17.9","50.4","54.8","77.6%","7.4","13.9","53.6","22.4%","1.6","4.0","39.3","2018-2019"
"137","LaMarcus Aldridge","SAS","33","7","7","100%","7.9","17.1","45.8","47.1","90.8%","7.4","15.6","47.7","9.2%","0.4","1.6","27.3","2018-2019"
"138","Joel Embiid","PHI","25","11","11","100%","6.2","14.4","42.8","46.5","75.5%","5.1","10.9","46.7","24.5%","1.1","3.5","30.8","2018-2019"
"139","Andre Drummond","DET","25","4","4","100%","6.0","13.5","44.4","44.4","98.1%","6.0","13.3","45.3","1.9%","0.0","0.3","0.0","2018-2019"
"140","Al Horford","BOS","33","9","9","100%","5.1","12.2","41.8","50.0","60.0%","3.1","7.3","42.4","40.0%","2.0","4.9","40.9","2018-2019"
"141","Nikola Vucevic","ORL","28","5","5","100%","4.2","11.6","36.2","38.8","77.6%","3.6","9.0","40.0","22.4%","0.6","2.6","23.1","2018-2019"
"142","Montrezl Harrell","LAC","25","6","6","100%","7.7","10.5","73.0","73.0","98.4%","7.7","10.3","74.2","1.6%","0.0","0.2","0.0","2018-2019"
"143","Brook Lopez","MIL","31","15","15","100%","4.1","8.9","45.9","54.1","43.6%","2.6","3.9","67.2","56.4%","1.5","5.0","29.3","2018-2019"
"144","Myles Turner","IND","23","4","4","100%","3.5","8.8","40.0","44.3","60.0%","2.8","5.3","52.4","40.0%","0.8","3.5","21.4","2018-2019"
"145","Enes Freedom","POR","27","16","16","100%","4.6","8.6","53.3","53.6","97.1%","4.5","8.3","54.1","2.9%","0.1","0.3","25.0","2018-2019"
"146","Steven Adams","OKC","25","5","5","100%","5.6","8.4","66.7","66.7","97.6%","5.6","8.2","68.3","2.4%","0.0","0.2","0.0","2018-2019"
"147","Serge Ibaka","TOR","29","24","24","100%","3.8","8.0","47.6","50.0","80.1%","3.4","6.4","53.6","19.9%","0.4","1.6","23.7","2018-2019"
"148","Marc Gasol","TOR","34","24","24","100%","3.2","7.5","42.5","52.0","50.8%","1.8","3.8","46.2","49.2%","1.4","3.7","38.6","2018-2019"
"149","Clint Capela","HOU","25","11","11","100%","4.0","7.3","55.0","55.0","100%","4.0","7.3","55.0","0.0%","0.0","0.0","-","2018-2019"
"150","Derrick Favors","UTA","27","5","5","100%","4.6","7.2","63.9","63.9","91.7%","4.6","6.6","69.7","8.3%","0.0","0.6","0.0","2018-2019"
"151","DeMarcus Cousins","GSW","28","8","8","100%","2.6","6.6","39.6","42.5","77.4%","2.3","5.1","43.9","22.6%","0.4","1.5","25.0","2018-2019"
"152","Jarrett Allen","BKN","21","5","5","100%","3.8","6.4","59.4","59.4","100%","3.8","6.4","59.4","0.0%","0.0","0.0","-","2018-2019"
"153","Rudy Gobert","UTA","27","5","5","100%","3.8","6.4","59.4","59.4","100%","3.8","6.4","59.4","0.0%","0.0","0.0","-","2018-2019"
"154","Meyers Leonard","POR","27","11","11","100%","3.1","5.9","52.3","63.1","49.2%","1.8","2.9","62.5","50.8%","1.3","3.0","42.4","2018-2019"
"155","Jakob Poeltl","SAS","23","7","7","100%","3.3","5.1","63.9","63.9","97.2%","3.3","5.0","65.7","2.8%","0.0","0.1","0.0","2018-2019"
"156","Zach Collins","POR","21","16","15","100%","2.6","5.0","51.3","55.6","73.8%","2.1","3.7","57.6","26.3%","0.4","1.3","33.3","2018-2019"
"157","Ivica Zubac","LAC","22","4","4","100%","2.3","4.5","50.0","50.0","100%","2.3","4.5","50.0","0.0%","0.0","0.0","-","2018-2019"
"158","Kevon Looney","GSW","23","21","20","100%","3.0","4.4","68.8","68.8","100%","3.0","4.4","68.8","0.0%","0.0","0.0","-","2018-2019"
"159","Nerlens Noel","OKC","25","5","5","100%","2.4","4.0","60.0","60.0","100%","2.4","4.0","60.0","0.0%","0.0","0.0","-","2018-2019"
