"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"602","Otto Porter Jr.","WAS","25","5","5","100%","4.0","7.4","54.1","60.8","67.6%","3.0","5.0","60.0","32.4%","1.0","2.4","41.7","2017-2018"
"603","Serge Ibaka","TOR","28","10","10","100%","3.0","6.9","43.5","50.0","65.2%","2.1","4.5","46.7","34.8%","0.9","2.4","37.5","2017-2018"
"604","Zach Collins","POR","20","4","4","100%","2.8","6.8","40.7","46.3","48.1%","2.0","3.3","61.5","51.9%","0.8","3.5","21.4","2017-2018"
"605","CJ Miles","TOR","31","10","10","100%","3.2","6.7","47.8","61.9","34.3%","1.3","2.3","56.5","65.7%","1.9","4.4","43.2","2017-2018"
"606","Mike Scott","WAS","29","6","6","100%","4.3","6.2","70.3","79.7","73.0%","3.2","4.5","70.4","27.0%","1.2","1.7","70.0","2017-2018"
"607","P.J. Tucker","HOU","33","17","17","100%","3.1","6.1","50.0","66.8","28.8%","1.0","1.8","56.7","71.2%","2.1","4.3","47.3","2017-2018"
"608","Jeff Green","CLE","31","22","22","100%","2.6","6.1","43.3","51.1","48.5%","1.7","3.0","56.9","51.5%","0.9","3.1","30.4","2017-2018"
"609","Maurice Harkless","POR","25","2","2","100%","3.5","6.0","58.3","66.7","50.0%","2.5","3.0","83.3","50.0%","1.0","3.0","33.3","2017-2018"
"610","Derrick Favors","UTA","26","11","11","100%","3.8","5.9","64.6","66.2","92.3%","3.6","5.5","66.7","7.7%","0.2","0.5","40.0","2017-2018"
"611","Danny Green","SAS","31","5","5","100%","1.6","5.6","28.6","37.5","32.1%","0.6","1.8","33.3","67.9%","1.0","3.8","26.3","2017-2018"
"612","Gerald Green","HOU","32","17","17","100%","2.2","5.4","40.2","54.9","22.8%","0.6","1.2","47.6","77.2%","1.6","4.2","38.0","2017-2018"
"613","Andre Iguodala","GSW","34","15","15","100%","2.8","5.3","53.2","62.0","53.2%","1.9","2.8","66.7","46.8%","0.9","2.5","37.8","2017-2018"
"614","OG Anunoby","TOR","20","10","10","100%","2.9","5.0","58.0","71.0","42.0%","1.6","2.1","76.2","58.0%","1.3","2.9","44.8","2017-2018"
"615","Jerami Grant","OKC","24","6","6","100%","3.0","4.8","62.1","65.5","72.4%","2.7","3.5","76.2","27.6%","0.3","1.3","25.0","2017-2018"
"616","Royce O'Neale","UTA","25","11","11","100%","2.5","4.8","52.8","62.3","47.2%","1.6","2.3","72.0","52.8%","0.9","2.5","35.7","2017-2018"
"617","Thon Maker","MIL","21","6","6","100%","1.8","4.3","42.3","53.8","26.9%","0.8","1.2","71.4","73.1%","1.0","3.2","31.6","2017-2018"
"618","Shabazz Muhammad","MIL","25","4","3","100%","2.3","4.3","52.9","64.7","70.6%","1.3","3.0","41.7","29.4%","1.0","1.3","80.0","2017-2018"
"619","Taj Gibson","MIN","33","5","5","100%","2.8","4.2","66.7","66.7","100%","2.8","4.2","66.7","0.0%","0.0","0.0","-","2017-2018"
"620","Corey Brewer","OKC","32","6","6","100%","2.2","4.0","54.2","64.6","54.2%","1.3","2.2","61.5","45.8%","0.8","1.8","45.5","2017-2018"
"621","Tristan Thompson","CLE","27","19","16","100%","2.6","4.0","65.3","65.3","98.7%","2.6","3.9","66.2","1.3%","0.0","0.1","0.0","2017-2018"
"622","Pascal Siakam","TOR","24","10","10","100%","2.5","3.7","67.6","71.6","89.2%","2.2","3.3","66.7","10.8%","0.3","0.4","75.0","2017-2018"
"623","Kyle Anderson","SAS","24","5","5","100%","2.4","3.6","66.7","66.7","77.8%","2.4","2.8","85.7","22.2%","0.0","0.8","0.0","2017-2018"
"624","Darius Miller","NOP","28","9","9","100%","1.6","3.6","43.8","57.8","28.1%","0.6","1.0","55.6","71.9%","1.0","2.6","39.1","2017-2018"
"625","Pat Connaughton","POR","25","4","4","100%","1.5","3.5","42.9","50.0","28.6%","1.0","1.0","100","71.4%","0.5","2.5","20.0","2017-2018"
"626","Davis Bertans","SAS","25","5","5","100%","0.6","3.4","17.6","26.5","11.8%","0.0","0.4","0.0","88.2%","0.6","3.0","20.0","2017-2018"
"627","Luc Mbah a Moute","HOU","31","9","9","100%","1.0","3.3","30.0","35.0","53.3%","0.7","1.8","37.5","46.7%","0.3","1.6","21.4","2017-2018"
"628","Kevon Looney","GSW","22","21","19","100%","1.9","3.2","57.4","57.4","97.1%","1.9","3.1","59.1","2.9%","0.0","0.1","0.0","2017-2018"
"629","Jake Layman","POR","24","1","1","100%","3.0","3.0","100","100","100%","3.0","3.0","100","0.0%","0.0","0.0","-","2017-2018"
"630","Nemanja Bjelica","MIN","30","5","4","100%","1.4","3.0","46.7","60.0","53.3%","0.6","1.6","37.5","46.7%","0.8","1.4","57.1","2017-2018"
"631","Larry Nance Jr.","CLE","25","20","18","100%","2.0","2.8","71.4","71.4","98.2%","2.0","2.8","72.7","1.8%","0.0","0.1","0.0","2017-2018"
